Industry,loanAmount
Unknown,76205001
Accomodation & Food Services,358691721
"Administrative, Support, Waste Management & Remediation Services",161997641
"Agriculture, Forestry, Fishing & Hunting",48701662
"Arts, Entertainment & Recreation",67785745
Construction,364206513
Educational Services,61646779
Finance & Insurance,104213891
Health Care & Social Assistance,432873952
Information,46392227
Management of Companies & Enterprises,5126466
Manufacturing,126452037
Mining,3279368
Other services except Public Administration,393640389
"Professional, Scientific & Technical Services",495871694
Public Administration,13896031
"Real Estate, Rental & Leasing",138491816
Retail Trade,276383667
Transportation & Warehousing,90903435
Utilities,5352049
Wholesale Trade,86635567
